file_name,label
videos/wave/Maya_beim_Winken_wave_f_cm_np1_fr_med_2.avi,wave
videos/wave/EVOLUTION_wave_u_nm_np1_le_med_3.avi,wave
videos/walk/20060723sfjffschmoozer_walk_f_cm_np2_ri_med_0.avi,walk
videos/walk/EVOLUTION_walk_f_cm_np1_fr_med_23.avi,walk
videos/clap/boomsnapclap!_clap_u_nm_np1_fr_med_2.avi,clap
videos/wave/L_cheln_Und_Winken_wave_h_cm_np1_fr_med_1.avi,wave
videos/run/TheLittleShopofHorrors_run_f_cm_np1_fr_bad_13.avi,run
videos/jump/Sam_Cooksey_Goalkeeper_Training_jump_f_cm_np1_le_bad_3.avi,jump
videos/clap/A_Round_of_Applause_clap_u_cm_np1_fr_med_1.avi,clap
videos/run/metacafe_coolsoccer_run_f_cm_np3_fr_bad_6.avi,run
videos/wave/Oceans12_wave_h_nm_np1_fr_goo_8.avi,wave
videos/clap/Kurt_Kr_mer_-_Klatschen_im_Flugzeug_clap_f_nm_np1_fr_med_0.avi,clap
videos/clap/boomsnapclap!_clap_u_nm_np1_fr_med_0.avi,clap
videos/jump/RATRACE_jump_f_nm_np1_ba_bad_30.avi,jump
videos/walk/Oceans12_walk_u_cm_np1_fr_med_10.avi,walk
videos/jump/Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_4.avi,jump
videos/clap/RE-_Boom_Snap_Clap_clap_u_nm_np1_fr_med_1.avi,clap
videos/wave/CharlieAndTheChocolateFactory_wave_u_nm_np1_fr_med_2.avi,wave
videos/wave/likebeckam_wave_u_cm_np1_fr_med_6.avi,wave
videos/walk/TrumanShow_walk_f_cm_np1_ri_med_36.avi,walk
videos/run/TheLastManOnearth_run_f_cm_np1_fr_med_48.avi,run
videos/run/A_Beautiful_Mind_5_run_u_cm_np1_fr_med_7.avi,run
videos/clap/RE-_Boom_Snap_Clap_clap_u_nm_np1_fr_med_0.avi,clap
videos/jump/Documentario_Le_Parkour_Londrina_jump_f_cm_np1_fr_bad_10.avi,jump
videos/wave/BIG_FISH_wave_u_nm_np1_fr_bad_4.avi,wave
videos/jump/THE_PROTECTOR_jump_f_nm_np1_fr_bad_95.avi,jump
videos/wave/Hitch_Part_2_wave_h_nm_np1_fr_goo_12.avi,wave
videos/wave/AllThePresidentMen_wave_h_nm_np1_fr_med_6.avi,wave
videos/jump/THE_PROTECTOR_jump_f_cm_np1_fr_bad_29.avi,jump
videos/wave/prelinger_LetsBeGo1953_wave_u_cm_np10_ba_med_2.avi,wave
videos/run/THE_PROTECTOR_run_f_nm_np1_le_med_91.avi,run
videos/wave/MUSE_Wave_Goodbye_in_Wembley_wave_u_nm_np3_fr_med_0.avi,wave
videos/walk/TheBoondockSaints_walk_h_cm_np2_ba_med_8.avi,walk
videos/run/RETURN_OF_THE_KING_run_f_cm_np1_fr_bad_32.avi,run
